"s.01","s.02","s.03","s.04","s.05","s.06","s.07","s.08","s.09","s.10","s.11","s.12","s.13","s.14","s.15","s.16","s.17","s.18","s.19","s.20","s.21","s.22","s.23","s.24","s.25","s.26","s.27","s.28","s.29","s.30","s.31","s.32","s.33","s.34","s.35","s.36","s.37","s.38","s.39","s.40","s.41","s.42","s.43","s.44","s.45","s.46","s.47","s.48","s.49","s.50","s.51","s.52"
"ms.11",4.97902330830465,4.08593851209047,3.6005116844105,4.97902330830465,4.01554918428402,4.01554918428402,3.39406080712605,4.08593851209047,3.94154860293414,2.01554918428402,4.01554918428402,3.69362108984267,4.86354609054164,4.86354609054164,3.66985139861682,3.86249647670091,3.66985139861682,3.66985139861682,3.18442457115185,4.40681699232961,5.2084327424628,5.2084327424628,5.2084327424628,6.00624389197039,4.61232968440867,5.80793211542802,5.80793211542802,4.69545738650369,2.88568423537339,2.88568423537339,2.88568423537339,3.9925994388716,3.82910070724127,3.64467613578086,4.31452753412149,4.43317203082999,3.64467613578086,3.64467613578086,3.64467613578086,4.18524451692728,4.18524451692728,3.35516951845771,4.04322551262912,3.93845021869228,2.53990084235598,3.93845021869228,3.93845021869228,3.66543172487398,3.66543172487398,3.47278664611942,4.28992258932081,2.66543172441917
"ms.12",5.73801520859293,5.24820994080859,5.30833093354828,5.6243584269303,5.33747727917139,5.24820994080859,5.05117309397123,4.97902330830465,5.11988584397429,4.90307445468809,5.50097601126312,5.73801520859293,5.57626413878874,5.11988584397429,4.66985139805004,5.0324214778126,4.70379873019746,5.0324214778126,5.11042398988348,5.0324214778126,5.50799302439486,4.709626885661,5.31534794640718,4.64549654811598,4.77102743044001,5.31889403492226,5.31889403492226,5.59452847737854,4.913164971685,4.88568423537339,4.54279652156471,4.99259943932476,4.94013201917887,4.913164971685,4.79995436118815,4.57756194019697,4.64467613578086,4.99259943932476,4.77020701791279,4.43317203082999,4.31452753412149,4.54279652156471,4.27270735859746,4.98735981907912,4.08046922330005,5.28992258932081,4.98735981907912,4.43802122802213,4.86182893724334,4.86182893724334,5.12486334299444,4.9631122728787
"ms.13",9.16122663935871,8.76508345169463,8.78637823023156,9.08808378383997,8.83061220130894,8.34467278030044,8.15714546245052,8.27858359009923,8.31200659173244,7.88344564795897,8.83572814665185,9.35004595263686,9.10724901831097,8.69362108914578,8.78928662921724,9.00545442998152,8.79520336352495,9.01054929733354,9.14789869518167,9.09451759887226,9.63727604129454,9.51922027982058,9.62381700193236,9.66887288631371,9.40159792925876,9.94338489965422,9.89963194961316,9.86862804723903,8.64057173760916,8.69303915736128,8.31452753421212,8.79072403539921,8.80179336081235,8.75510012538345,8.57970721168018,8.52286641921274,8.50039407956827,8.73213897723476,8.6136046897156,8.77956912124301,8.85766985900763,9.12040956676022,8.6426253962604,8.27522607823745,7.53168033569277,8.62929113189657,8.28259304753735,7.72432541324533,8.13846094647041,8.27276203801134,8.58826386386422,8.39108200540947
"ms.14",8.81256216200466,8.50419272406232,8.47498080275914,8.81256216200466,8.58843885249472,8.60651042547117,7.95100893217094,8.45517232161916,7.97439185929207,8.18947611632831,8.67376066684152,8.75971027980118,8.76239936722593,8.76239936722593,8.03242147759219,8.12615691598954,8.03242147759219,8.40423844842372,8.18742705922397,8.59041693098339,8.4505075295975,7.88303245599771,8.39795322393428,8.34088303852067,8.34088303852067,8.75513069967672,8.50281230816357,8.63320894546835,7.86823910104697,7.94346773202214,7.6281880127669,8.05560923670725,8.05560923670725,7.87873147488251,8.12482373173783,7.9131649718047,7.75889170466414,8.06788756632945,7.85766985931862,8.79257483098191,8.88914809054121,9.03543135482308,8.79257483098191,7.83535672555827,7.15193158573304,8.00528172749189,7.83535672555827,7.33313465587612,7.91967301169863,7.86837178272621,8.04336522903208,8.04336522903208
"ms.15",4.82290410608677,4.21718304522097,5.01554918428402,5.18547418552811,4.27858358982048,4.5009760115817,4.15305270787177,4.82290410608677,4.69362108928516,4.08593851209047,4.5009760115817,5.15305270787177,4.94154860293414,4.90307445468809,5.0588936889093,5.42728109502343,4.36499681705506,5.42728109502343,5.0588936889093,5.36499681670499,5.2735277706273,5.2735277706273,5.69385956963304,5.33581204918633,5.33581204918633,5.55209321118292,5.48600402060504,5.48600402060504,5.1852445173238,4.61150927197979,4.79995436118815,5.25133370751526,5.25133370751526,5.04322551219159,5.66097794804516,5.04322551219159,5.04322551219159,5.22963863650202,4.88568423537339,5.33499163659951,5.33499163659951,5.52509452021332,5.31452753412149,4.20975224080541,3.16793206488147,4.43802122802213,3.98735981907912,4.12486334258098,4.66543172430546,4.20975224080541,4.53990084248002,4.50673397861694
"ms.16",2.86354609064075,3.50097601094454,2.86354609064075,3.39406080712605,2.86354609064075,3.27858358996915,2.01554918428402,2.69362108939666,2.69362108939666,2.27858359011782,2.50097601145427,2.50097601145427,2.50097601145427,2.86354609064075,2.44745897709145,2.86249647630417,3.44745897709145,2.44745897709145,0.862496476105796,2.27753397538464,3.6454965486924,2.50799302445827,2.99341985151982,2.35598993098504,1.99341985151982,3.48600402028313,3.07096652143349,4.07096652143349,2.88568423537339,2.50717261210014,2.50717261210014,2.50717261210014,2.50717261210014,2.35516951873968,2.50717261210014,2.18524451708589,2.35516951873968,1.99259943923413,2.77020701780705,2.35516951873968,2.35516951873968,2.50717261210014,2.35516951873968,2.40239731863085,0.665431724191762,1.08046922347061,2.08046922347061,2.08046922347061,2.08046922347061,2.40239731863085,1.66543172419176,2.08046922347061
"ms.17",0.693621089396662,0.693621089396662,0.693621089396662,-0.306378910603338,-0.306378910603338,-0.306378910603338,-0.306378910603338,0.693621089396662,-0.306378910603338,-0.306378910603338,-0.306378910603338,1.27858359011782,0.693621089396662,0.693621089396662,0.862496476105796,0.277533975384639,0.862496476105796,0.277533975384639,0.277533975384639,0.862496476105796,1.50799302420465,0.77102743054569,0.77102743054569,1.77102743012298,1.18606492982453,1.48600402054065,1.48600402054065,1.07096652126181,0.185244517720316,-0.814755483548534,0.185244517720316,0.185244517720316,0.185244517720316,-0.814755483548534,0.185244517720316,0.770207018018523,0.185244517720316,-0.814755483548534,-0.814755483548534,-0.814755483548534,-0.814755483548534,0.185244517720316,0.185244517720316,-0.919530776529395,-0.919530776529395,-0.919530776529395,-0.919530776529395,-0.919530776529395,-0.919530776529395,-0.919530776529395,-0.919530776529395,-0.919530776529395
"ms.18",7.16122663961069,6.73801520886324,6.90307445517026,7.16122663961069,6.98824183866328,6.05117309397123,6.21718304541489,6.39406080746914,6.44850859142798,5.96040762992938,7.27858358963464,7.68230577635145,7.35183257160088,7.16935452018265,6.88486428950047,7.35434957225914,6.9986331644754,7.33822990705436,7.51593871461513,7.35968301651013,8.3930792496845,8.31018624114465,8.38082178379666,8.40038405013,8.10790586642838,8.59974618678322,8.59974618678322,8.56815306187932,6.89949003508433,6.89949003508433,6.71662597806516,7.06788756632945,6.98614441710008,7.09813385360806,6.91316497120619,6.81460113735134,6.84345599965552,7.04943066158497,7.04322551241035,6.81460113735134,6.81460113735134,7.08611132498435,6.79257483098191,6.84202045595281,6.19941029641007,6.99335855991571,6.8219362102033,6.15728482062251,6.5316803353809,6.49832173850013,6.95698616962918,6.95698616962918
"ms.19",5.15305270787177,4.08593851209047,4.5009760115817,4.15305270787177,3.94154860293414,4.27858358982048,3.15305270787177,4.21718304522097,4.39406080712605,3.39406080712605,4.21718304522097,4.82290410608677,5.39406080746914,4.69362108928516,3.44745897709145,4.48698734088492,3.44745897709145,4.03242147737178,3.44745897709145,3.44745897709145,5.91398538405276,5.91398538405276,7.03781397086729,5.66179836061995,5.37588948828763,6.0251628317373,6.10071386473995,5.96173745155335,3.88568423537339,3.88568423537339,3.88568423537339,4.39469788249194,3.64467613578086,4.50717261197325,3.9925994388716,4.09213511290589,4.13944082749323,4.04322551262912,3.50717261260768,3.70880647294982,3.70880647294982,3.70880647294982,3.70880647294982,3.88782414572313,2.66543172441917,4.28992258932081,4.08046922330005,3.78090894203152,3.78090894203152,4.36587144240282,4.91335923777897,4.36587144240282
"ms.20",8.08593851209047,7.84336820887622,7.85349242576335,8.22889646601266,7.99282910741581,7.86354609066553,7.44181393927655,7.73801520886324,7.30095140273457,7.32297770913388,8.0729994563447,8.2860781263597,7.76508345169463,7.86354609066553,7.53962882120454,7.862496476081,7.73696559394079,7.83212282734084,7.94995931765953,7.93217000380628,8.61651748126952,8.49212661900446,8.65774014407369,8.74448564290483,8.48527294772872,8.92894751653146,9.02127939715035,8.89327178494316,7.58612395336432,7.51616139532266,7.26206011406623,7.50717261181465,7.52954042514811,7.58612395336432,7.47064673625722,7.28853232578629,7.44733936244987,7.7166259773793,7.48902526533527,7.54718829074207,7.40441303745864,7.69303915770986,7.42841850079544,7.42919737798629,6.70252104324558,7.76346380747763,7.38424997202768,6.93221826522925,7.24034056000092,7.23021634351337,7.63121600903577,7.49832173818096
